idx,title,paragraph,prediction,error
186,Preparation of ethyl N-triethoxysilylpropylcarbamate,"In a 10 L distillation autoclave, 3-aminopropyltriethoxysilane (3321 g, 15 mol) are brought to reaction with urea (928 g, 15.45 mol) and ethanol (3458 g, 75 mol) at 230° C. and pressure between 35 and 23 bar. The resultant ammonia is continuously stripped out by the ethanol vapors.","{""Reactants, Solvents, Catalysts"": {""A"": ""3-aminopropyltriethoxysilane"", ""B"": ""urea"", ""C"": ""ethanol""}, ""Products"": {}, ""Reaction Steps"": {""1 (Reaction, Heat and React)"": ""A+B+C->mixture1"", ""2 (Reaction, Strip)"": ""mixture1->mixture2""}}",
187,Ethyl 3-(4-pyridyl)-3-oxopropionate,"Isonicotinic acid (35.56 g, 289 mmol) was added to a solution of 1,1′-carbonylbis-1H-imidazole (46.98 g, 290 mmol) in tetrahydrofuran (700 ml), and the resulting solution was stirred for 1.5 hr at 50° C. After cooling to room temperature, malonic acid monoester potassium salt (51.7 g, 304 mmol) and magnesium chloride (34.33 g, 361 mmol) were added, and the mixture was refluxed for 1 hr and then heated at 50° C. for 6 hr. The solvent was removed under reduced pressure and the residue was quenched by the addition of dilute acetic acid. The organic layer was extracted with ethyl acetate (3 times) and the combined extracts were washed with dilute aqueous sodium bicarbonate and brine, and were concentrated under reduced pressure. The residue was purified by silica gel column chromatography (eluent; hexane/ethyl acetate=2/1 to 1/1) and recrystallization from hexane-ethyl acetate gave 41.52 g (74%) of the title compound.","{""Reactants, Solvents, Catalysts"": {""A"": ""isonicotinic acid"", ""B"": ""1,1'-carbonylbis-1H-imidazole"", ""C"": ""tetrahydrofuran"", ""D"": ""malonic acid monoester potassium salt"", ""E"": ""magnesium chloride"", ""F"": ""acetic acid"", ""G"": ""ethyl acetate"", ""H"": ""sodium bicarbonate"", ""I"": ""brine"", ""J"": ""hexane""}, ""Products"": {""K"": ""ethyl 3-(4-pyridyl)-3-oxopropionate""}, ""Reaction Steps"": {""1 (Reaction, Add and Stir)"": ""A+B+C->mixture1"", ""2 (Reaction, Add)"": ""mixture1+D+E->mixture2"", ""3 (Reaction, Heat)"": ""mixture2->mixture3"", ""4 (Work-up, Evaporate)"": ""mixture3->mixture4"", ""5 (Work-up, Quench)"": ""mixture4+F->mixture5"", ""6 (Work-up, Extract)"": ""mixture5+G->mixture6"", ""7 (Work-up, Wash)"": ""mixture6+H->mixture7"", ""8 (Work-up, Wash)"": ""mixture7+I->mixture8"", ""9 (Work-up, Concentrate)"": ""mixture8->mixture9"", ""10 (Work-up, Purify)"": ""mixture9+J+G->K""}}",
188,"2-Azidomethyl-2-hydroxy-1,3-diazidopropane","To a solution of 1,3-diazidoacetone 7(10 gms, 0.07 mol) in aq. acetone (20 mL water, 150 mL acetone) was added sodium azide (15 gm, 0.23 mol) and the resulting mixture was heated under reflux for 14 hours. The reaction mixture was concentrated under reduced pressure and partitioned between water and methylene chloride. The organic layer was separated, dried over sodium sulfate and concentrated to obtain a residue that was chromatographed to obtain pure 2-azidomethyl-2-hydroxy-1,3-diazidopropane 2.","{""Reactants, Solvents, Catalysts"": {""A"": ""1,3-diazidoacetone"", ""B"": ""acetone"", ""C"": ""water"", ""D"": ""sodium azide"", ""E"": ""methylene chloride"", ""F"": ""sodium sulfate""}, ""Products"": {""G"": ""2-azidomethyl-2-hydroxy-1,3-diazidopropane""}, ""Reaction Steps"": {""1 (Reaction, Add)"": ""A+B+C+D->mixture1"", ""2 (Reaction, Heat)"": ""mixture1->mixture2"", ""3 (Work-up, Concentrate)"": ""mixture2->mixture3"", ""4 (Work-up, Partition)"": ""mixture3+C+E->mixture4"", ""5 (Work-up, Separate)"": ""mixture4->mixture5"", ""6 (Work-up, Dry)"": ""mixture5+F->mixture6"", ""7 (Work-up, Concentrate)"": ""mixture6->mixture7"", ""8 (Work-up, Chromatograph)"": ""mixture7->G""}}",
189,"4-Hydroxy-2-oxo-1,2-dihydro-quinoline-3-carboxylic acid ethyl ester","A solution of diethylmalonate (80 g, 0.50 mol) was added slowly to a suspension of sodium hydride (60% in mineral oil, 22 g, 0.55 mol) in dimethylacetamide under N2 atmosphere. The mixture was allowed to stir at room temperature until the evolution of hydrogen gas ceased, then heated to 90° C. for 30 min. and cooled to room temperature. A solution of isatoic anhydride (89.72 g, 0.55 mmol) in dimethylacetamide was added slowly and heated at 120° C. for 15 h. The mixture was cooled to room temperature, poured into ice water and acidified by cold 10% HCl. The solids formed were filtered and washed several times by water to yield 55 g (47%) of white solids. Mp 173° C. 1H NMR (DMSO-d6): δ 1.30 (t, J=6.9 Hz, 3H), 4.33 (q, J=6.9 Hz, 2H), 7.18 (t, J=7.5 Hz, 1H), 7.26 (d, J=8.2 Hz, 1H), 7.62 (t, J=7.2 Hz, 1H), 7.93 (d, J=8.0 Hz, 1H) 11.50 (s, 1H), 13.5 (s, 1H). EIMS m/z 234 (M+1), 256 (M+23). Anal. (C12H11NO4) C, H, N.","{""Reactants, Solvents, Catalysts"": {""A"": ""diethylmalonate"", ""B"": ""sodium hydride"", ""C"": ""mineral oil"", ""D"": ""dimethylacetamide"", ""E"": ""isatoic anhydride"", ""F"": ""hydrochloric acid"", ""G"": ""water""}, ""Products"": {""H"": ""4-hydroxy-2-oxo-1,2-dihydro-quinoline-3-carboxylic acid ethyl ester""}, ""Reaction Steps"": {""1 (Reaction, Add and Stir)"": ""A+B+C+D->mixture1"", ""2 (Reaction, Heat)"": ""mixture1->mixture2"", ""3 (Reaction, Add and Heat)"": ""mixture2+E+D->mixture3"", ""4 (Work-up, Cool and Pour)"": ""mixture3+G->mixture4"", ""5 (Work-up, Acidify)"": ""mixture4+F->mixture5"", ""6 (Work-up, Filter and Wash)"": ""mixture5+G->H""}}",
190,Ethyl (E)-3-[4-(2-amino-2-methyl-propanoylamino)-phenyl]-acrylate,"The acid chloride (12.778 g, 80 mmol, 1.4 equivalent) was suspended in DCM (200 mL) and ethyl 4-aminocinnamate (11.045 g, 57.7 mmol, 1 equivalent) was added. Pyridine (7.01 mL, 86.6 mmol, 1.5 equivalent) was added drop wise and the mixture was stirred for 3.5 h at room temperature. The reaction was then poured into a mixture of 1N NaOH (25 mL) and saturated aqueous NaHCO3 (100 mL) and extracted with EtOAc. The organic phase was washed with aqueous NaHCO3, water and brine, and dried over MgSO4. Removal of solvent under reduced pressure gave the title compound as a white solid (15.96 g, 101% yield).","{""Reactants, Solvents, Catalysts"": {""A"": ""acid chloride"", ""B"": ""dichloromethane"", ""C"": ""ethyl 4-aminocinnamate"", ""D"": ""pyridine"", ""E"": ""sodium hydroxide"", ""F"": ""sodium bicarbonate"", ""G"": ""ethyl acetate"", ""H"": ""water"", ""I"": ""brine"", ""J"": ""magnesium sulfate""}, ""Products"": {""K"": ""ethyl (E)-3-[4-(2-amino-2-methyl-propanoylamino)-phenyl]-acrylate""}, ""Reaction Steps"": {""1 (Reaction, Suspend)"": ""A+B->mixture1"", ""2 (Reaction, Add)"": ""mixture1+C->mixture2"", ""3 (Reaction, Add dropwise)"": ""mixture2+D->mixture3"", ""4 (Reaction, Stir)"": ""mixture3->mixture4"", ""5 (Work-up, Pour and Extract)"": ""mixture4+E+F->mixture5"", ""6 (Work-up, Extract)"": ""mixture5+G->mixture6"", ""7 (Work-up, Wash)"": ""mixture6+F+H+I->mixture7"", ""8 (Work-up, Dry)"": ""mixture7+J->mixture8"", ""9 (Work-up, Evaporate)"": ""mixture8->K""}}",
191,4-[5-bromo-2-(but-3-en-1-yloxy)phenyl]-4-hydroxybutan-2-one,"To 300 ml of acetone there are added 10 g of 5-bromo-2-hydroxybenzaldehyde (49.7 mmol), 13.7 g of potassium carbonate (99.5 mmol) and 10.1 ml of 4-bromobut-1-ene (99.5 mmol); the reaction mixture is then heated at reflux for 36 hours before being cooled, filtered and evaporated to dryness to yield 4-[5-bromo-2-(but-3-en-1-yloxy)phenyl]-4-hydroxybutan-2-one in the form of an oil.","{""Reactants, Solvents, Catalysts"": {""A"": ""5-bromo-2-hydroxybenzaldehyde"", ""B"": ""potassium carbonate"", ""C"": ""4-bromobut-1-ene"", ""D"": ""acetone""}, ""Products"": {""E"": ""4-[5-bromo-2-(but-3-en-1-yloxy)phenyl]-4-hydroxybutan-2-one""}, ""Reaction Steps"": {""1 (Reaction, Add)"": ""D+A+B+C->mixture1"", ""2 (Reaction, Heat)"": ""mixture1->mixture2"", ""3 (Work-up, Cool)"": ""mixture2->mixture3"", ""4 (Work-up, Filter)"": ""mixture3->mixture4"", ""5 (Work-up, Evaporate)"": ""mixture4->E""}}",
192,1-fluoro-3-methoxy-2-nitrobenzene,"To a solution of 2,6-difluoronitrobenzene (5 g, 32 mmol) in methanol (50 mL) was added potassium hydroxide (1.8 g, 32.5 mmol), and the mixture was heated to reflux for 3 hr. Water was added, and the mixture was extracted with dichloromethane. The organic layer was separated, dried, filtered, and evaporated to yield 5.1 g (95%) of 1-fluoro-3-methoxy-2-nitrobenzene, 1e. MS m/z (MH+) 172.","{""Reactants, Solvents, Catalysts"": {""A"": ""2,6-difluoronitrobenzene"", ""B"": ""methanol"", ""C"": ""potassium hydroxide"", ""D"": ""water"", ""E"": ""dichloromethane""}, ""Products"": {""F"": ""1-fluoro-3-methoxy-2-nitrobenzene""}, ""Reaction Steps"": {""1 (Reaction, Add)"": ""A+B+C->mixture1"", ""2 (Reaction, Heat)"": ""mixture1->mixture2"", ""3 (Work-up, Add)"": ""mixture2+D->mixture3"", ""4 (Work-up, Extract)"": ""mixture3+E->mixture4"", ""5 (Work-up, Separate)"": ""mixture4->mixture5"", ""6 (Work-up, Dry and Filter)"": ""mixture5->mixture6"", ""7 (Work-up, Evaporate)"": ""mixture6->F""}}",
193,"N2-Mesityl-1-methyl-N7,N7-dipropyl-1H-benzimidazole-2,7-diamine","To a solution containing 0.05 g (0.18 mmol) of N2-mesityl-1-methyl-1H-benzimidazole-2,7-diamine in methanol (5 ml) was added 0.03 ml (0.54 mmol) of propionaldehyde, 0.03 g (0.54 mmol) of NaBH3CN and 0.1 ml of acetic acid. The mixture was stirred overnight then diluted with ethyl acetate and washed with water. The organic phase was dried over magnesium sulfate. Filtration, removal of solvent and purification of the residue via Biotage chromatography eluting with 5% methanol/dichloromethane gave 0.04 g (70%) of product.","{""Reactants, Solvents, Catalysts"": {""A"": ""N2-mesityl-1-methyl-1H-benzimidazole-2,7-diamine"", ""B"": ""methanol"", ""C"": ""propionaldehyde"", ""D"": ""sodium cyanoborohydride"", ""E"": ""acetic acid"", ""F"": ""ethyl acetate"", ""G"": ""water"", ""H"": ""magnesium sulfate"", ""I"": ""dichloromethane"", ""J"": ""methanol""}, ""Products"": {""K"": ""N2-mesityl-1-methyl-N7,N7-dipropyl-1H-benzimidazole-2,7-diamine""}, ""Reaction Steps"": {""1 (Reaction, Add)"": ""A+B+C+D+E->mixture1"", ""2 (Reaction, Stir)"": ""mixture1->mixture2"", ""3 (Work-up, Dilute)"": ""mixture2+F->mixture3"", ""4 (Work-up, Wash)"": ""mixture3+G->mixture4"", ""5 (Work-up, Dry)"": ""mixture4+H->mixture5"", ""6 (Work-up, Filter)"": ""mixture5->mixture6"", ""7 (Work-up, Evaporate)"": ""mixture6->mixture7"", ""8 (Work-up, Purify)"": ""mixture7+J+I->K""}}",
194,"4-[2,5-Dioxo-4-[(2-propenyloxy)methyl]imidazolidin-4-yl]benzonitrile","To a solution of 500 mg of 4-[2-(2-propenyloxy)acetyl]benzonitrile (in EtOH (5 mL) and water (5 mL) is added 324 mg potassium cyanide and 1.67 g of ammonium carbonate. The mixture is refluxed overnight at 55° C. The mixture is extracted with ethyl acetate, dried over magnesium sulfate and concentrated under vacuum to give the desired compound.","{""Reactants, Solvents, Catalysts"": {""A"": ""4-[2-(2-propenyloxy)acetyl]benzonitrile"", ""B"": ""ethanol"", ""C"": ""water"", ""D"": ""potassium cyanide"", ""E"": ""ammonium carbonate"", ""F"": ""ethyl acetate"", ""G"": ""magnesium sulfate""}, ""Products"": {""H"": ""4-[2,5-dioxo-4-[(2-propenyloxy)methyl]imidazolidin-4-yl]benzonitrile""}, ""Reaction Steps"": {""1 (Reaction, Add)"": ""A+B+C+D+E->mixture1"", ""2 (Reaction, Heat)"": ""mixture1->mixture2"", ""3 (Work-up, Extract)"": ""mixture2+F->mixture3"", ""4 (Work-up, Dry)"": ""mixture3+G->mixture4"", ""5 (Work-up, Concentrate)"": ""mixture4->H""}}",
195,Methyl N-{4-[2-(4-chlorophenyl)-1-propylpent-4-en-1-yl]benzoyl}-β-alaninate,"A DMF solution (20 ml) containing INTERMEDIATE 1 (1.66 g, 4.84 mmol), methyl β-alaninate hydrochloride (1.01 g, 7.26 mmol), DIEA (4.3 ml, 24.2 mmol) and BOP (3.21 g, 7.26 mmol) was stirred at room temperature for 1.5 hours. The solution was diluted with EtOAc and washed with water, brine and dried over Na2SO4. The filtered solution was concentrated and the residue purified by silica gel chromatography using a hexanes/EtOAc gradient to give the title compound. 1H NMR for the major diastereomer (500 MHz, CDCl3): δ 7.72 (d, J=8.2 Hz, 2H); 7.28 (d, J=8.3 Hz, 2H); 7.22 (d, J=8.2 Hz); 7.07 (d, J=8.4 Hz, 2H); 6.85-6.81 (m, 1H); 5.41-5.31 (m, 1H); 4.77-4.66 (m, 2H); 3.75-3.70 (m, 2H); 3.73 (s, 3H); 2.81-2.72 (m, 2H); 2.67 (t, J=5.9 Hz, 2H); 2.10-2.05 (m, 2H); 1.40-1.29 (m, 2H); 0.98-0.85 (m, 2H); 0.66 (t, J=7.3 Hz, 3H). LC1 4.03 min. (M+H)=428","{""Reactants, Solvents, Catalysts"": {""A"": ""INTERMEDIATE 1"", ""B"": ""methyl β-alaninate hydrochloride"", ""C"": ""N,N-dimethylformamide"", ""D"": ""N,N-diisopropylethylamine"", ""E"": ""benzotriazol-1-yloxytris(dimethylamino)phosphonium hexafluorophosphate"", ""F"": ""ethyl acetate"", ""G"": ""water"", ""H"": ""brine"", ""I"": ""sodium sulfate""}, ""Products"": {""J"": ""methyl N-{4-[2-(4-chlorophenyl)-1-propylpent-4-en-1-yl]benzoyl}-β-alaninate""}, ""Reaction Steps"": {""1 (Reaction, Stir)"": ""A+B+C+D+E->mixture1"", ""2 (Work-up, Dilute)"": ""mixture1+F->mixture2"", ""3 (Work-up, Wash)"": ""mixture2+G->mixture3"", ""4 (Work-up, Wash)"": ""mixture3+H->mixture4"", ""5 (Work-up, Dry)"": ""mixture4+I->mixture5"", ""6 (Work-up, Filter)"": ""mixture5->mixture6"", ""7 (Work-up, Concentrate)"": ""mixture6->mixture7"", ""8 (Work-up, Purify)"": ""mixture7->J""}}",
196,4-Bromo-2-phenoxy-benzoic acid,"4-Bromo-2-phenoxy-benzonitrile (35.3 g, 129 mmol) was added to 130 mL EtOH, followed by the addition of 340 mL of 20% NaOH (aq). The reaction was heated to reflux for 20 h. The mixture was cooled to room temperature and poured into 6 N HCl to form a precipitate. The solid was collected by vacuum filtration and dissolved in 3:1 THF-ethyl ether and washed with brine. The organic phase was dried over magnesium sulfate, and concentrated. The solids were dried in a vacuum oven at 60° C. overnight to give 35.1 g (128 mmol) of the desired product. MS m/z (MH+) 292.","{""Reactants, Solvents, Catalysts"": {""A"": ""4-bromo-2-phenoxy-benzonitrile"", ""B"": ""ethanol"", ""C"": ""sodium hydroxide"", ""D"": ""hydrochloric acid"", ""E"": ""tetrahydrofuran"", ""F"": ""ethyl ether"", ""G"": ""brine"", ""H"": ""magnesium sulfate""}, ""Products"": {""I"": ""4-bromo-2-phenoxy-benzoic acid""}, ""Reaction Steps"": {""1 (Reaction, Add)"": ""A+B+C->mixture1"", ""2 (Reaction, Heat)"": ""mixture1->mixture2"", ""3 (Work-up, Cool)"": ""mixture2->mixture3"", ""4 (Work-up, Add)"": ""mixture3+D->mixture4"", ""5 (Work-up, Collect)"": ""mixture4->mixture5"", ""6 (Work-up, Dissolve)"": ""mixture5+E+F->mixture6"", ""7 (Work-up, Wash)"": ""mixture6+G->mixture7"", ""8 (Work-up, Dry)"": ""mixture7+H->mixture8"", ""9 (Work-up, Concentrate)"": ""mixture8->mixture9"", ""10 (Work-up, Dry)"": ""mixture9->I""}}",
197,2-(5-amino-1-phenyl-1 H-pyrazol-3-yl)-2-methylpropanoic acid,"A solution of 2-(5-amino-1-phenyl-1 H-pyrazol-3-yl)-2-methyl-propionitrile (1.0 g, 7.4 mmol) and aq NaOH (2 M, 11 mL, 22 mmol) in EtOH (10 mL) was heated to 70° C. for 12 h. The reaction mixture was partitioned between ether and water and the aqueous solution was acidified with HCl to pH 4-5. The aqueous was extracted with EtOAc (3×50 mL) and the extracts were concentrated in vacuo to give crude 2-(5-amino-1-phenyl-1 H-pyrazol-3-yl)-2-methylpropanoic acid (0.7 g, 39% yield) which was used without further purification.","{""Reactants, Solvents, Catalysts"": {""A"": ""2-(5-amino-1-phenyl-1H-pyrazol-3-yl)-2-methyl-propionitrile"", ""B"": ""aqueous sodium hydroxide"", ""C"": ""ethanol"", ""D"": ""ether"", ""E"": ""water"", ""F"": ""hydrochloric acid"", ""G"": ""ethyl acetate""}, ""Products"": {""H"": ""2-(5-amino-1-phenyl-1H-pyrazol-3-yl)-2-methylpropanoic acid""}, ""Reaction Steps"": {""1 (Reaction, Heat)"": ""A+B+C->mixture1"", ""2 (Work-up, Partition)"": ""mixture1+D+E->mixture2"", ""3 (Work-up, pH-adjust)"": ""mixture2+F->mixture3"", ""4 (Work-up, Extract)"": ""mixture3+G->mixture4"", ""5 (Work-up, Concentrate)"": ""mixture4->H""}}",
198,A466.3: 1-(6-Bromo-pyridin-2-yl)-propylamine,"Ethyl magnesium bromide (3.0 mL, 3.0 mmol) was added dropwise over 10 min to a solution of the pyridine nitrile A466.2 (500 mg, 2.75 mmol) in THF (5 mL) at room temperature under a nitrogen atmosphere. After stirring for 30 min at room temperature, the reaction mixture was then cooled to 0° C. and anhydrous methanol added (2.75 mL) followed by sodium borohydride (115 mg, 3.0 mmol). The mixture was allowed to warm to room temperature over 1 hr before quenching with saturated ammonium chloride solution (10 mL) and stirring overnight at room temperature. The mixture was diluted with water (20 mL) and extracted with ethyl acetate (3×30 mL). The combined organics were dried (MgSO4), evaporated in vacuo and purified by column chromatography using 10% MeOH in ethyl acetate as eluant to yield A466.3 (237 mg). HPLC YMC S-5 4.6×33 mm (2 min grad): retention time 0.87 min, M+H+=217.15","{""Reactants, Solvents, Catalysts"": {""A"": ""ethyl magnesium bromide"", ""B"": ""pyridine nitrile A466.2"", ""C"": ""tetrahydrofuran"", ""D"": ""anhydrous methanol"", ""E"": ""sodium borohydride"", ""F"": ""saturated ammonium chloride solution"", ""G"": ""water"", ""H"": ""ethyl acetate"", ""I"": ""magnesium sulfate"", ""J"": ""methanol""}, ""Products"": {""K"": ""1-(6-bromo-pyridin-2-yl)-propylamine""}, ""Reaction Steps"": {""1 (Reaction, Add)"": ""A+B+C->mixture1"", ""2 (Reaction, Stir)"": ""mixture1->mixture2"", ""3 (Reaction, Cool)"": ""mixture2->mixture3"", ""4 (Reaction, Add)"": ""mixture3+D->mixture4"", ""5 (Reaction, Add)"": ""mixture4+E->mixture5"", ""6 (Reaction, Warm)"": ""mixture5->mixture6"", ""7 (Work-up, Quench)"": ""mixture6+F->mixture7"", ""8 (Reaction, Stir)"": ""mixture7->mixture8"", ""9 (Work-up, Dilute)"": ""mixture8+G->mixture9"", ""10 (Work-up, Extract)"": ""mixture9+H->mixture10"", ""11 (Work-up, Dry)"": ""mixture10+I->mixture11"", ""12 (Work-up, Evaporate)"": ""mixture11->mixture12"", ""13 (Work-up, Purify)"": ""mixture12->K""}}",
199,1-[cyano-(4-methoxyphenyl)methyl]cyclohexanol,"A solution of 4-methoxybenzylnitrile (53.5 g, 0.36 mol) in 400 mL THF was cooled to −78° C. followed by slow addition of a 2.0 M THF solution of lithium diisopropylamide (200 mL, 0.40 mol) maintaining the reaction temperature below −65° C. The reaction was stirred at −78° C. for 30 minutes. Cyclohexanone (39.5 g, 0.40 mol) was added at a rate such that the reaction temperature did not rise above −65° C. After the addition reaction was stirred at −78° C. for 2 hours, then was poured into 1 L saturated aqueous NH4Cl containing ice. The mixture was stirred for 15 minutes and was extracted with ethyl acetate (4×200 mL). Combined ethyl acetate layer was washed with water (3×100 mL), brine (1×100 mL) and dried (Na2SO4). Ethyl acetate was evaporated in vacuo to give colorless solid that was trichurated with hexane. The precipitate was filtered, washed with hexane, dried in vacuo to give colorless solid (72.0 g, 80.7% yield). 1H (CDCl3): 7.30 and 6.90 (q, 4H), 3.80 (s, 3H), 3.75 (s, 1H), 1.55 (m, 10H); 13C (CDCl3): 159.8, 130.8, 123.8, 120.0, 114.1, 72.9, 55.5, 49.5, 34.9, 25.3, 21.6.","{""Reactants, Solvents, Catalysts"": {""A"": ""4-methoxybenzylnitrile"", ""B"": ""tetrahydrofuran"", ""C"": ""lithium diisopropylamide"", ""D"": ""cyclohexanone"", ""E"": ""saturated aqueous ammonium chloride"", ""F"": ""ethyl acetate"", ""G"": ""water"", ""H"": ""brine"", ""I"": ""sodium sulfate"", ""J"": ""hexane""}, ""Products"": {""K"": ""1-[cyano-(4-methoxyphenyl)methyl]cyclohexanol""}, ""Reaction Steps"": {""1 (Reaction, Add)"": ""A+B+C->mixture1"", ""2 (Reaction, Stir)"": ""mixture1->mixture2"", ""3 (Reaction, Add)"": ""mixture2+D->mixture3"", ""4 (Reaction, Stir)"": ""mixture3->mixture4"", ""5 (Work-up, Quench)"": ""mixture4+E->mixture5"", ""6 (Work-up, Stir)"": ""mixture5->mixture6"", ""7 (Work-up, Extract)"": ""mixture6+F->mixture7"", ""8 (Work-up, Wash)"": ""mixture7+G->mixture8"", ""9 (Work-up, Wash)"": ""mixture8+H->mixture9"", ""10 (Work-up, Dry)"": ""mixture9+I->mixture10"", ""11 (Work-up, Evaporate)"": ""mixture10->mixture11"", ""12 (Work-up, Triturate)"": ""mixture11+J->mixture12"", ""13 (Work-up, Filter and Wash)"": ""mixture12+J->K""}}",
200,"6-Bromo-7-ethylthieno(2,3-b]pyrazine-2,3(1H,4H)-dione","A suspension of 7-ethylthieno[2,3-b]pyrazine-2,3(1H,4H)-dione (1.0 g, 5.1 mmol) and sodium acetate (0.84 g, 10.2 mmol) in 225 ml of acetic acid was stirred at 10°-15° C. under a dry nitrogen atmosphere. A solution of bromine (0.26 ml, 5.1 mmol) in 2 ml of acetic acid was added during 0.5 h. Stirring was continued for further 0.5 h at room temperature and the reaction mixture was poured into ice water. The reddish mixture was decolourized by the addition of a small amount of aqueous sodium dithionite. The precipitate was filtered off, washed with water, resuspended in alcohol, filtered and washed with ether. Drying at 60° C. in vacuo afforded 720 mg (51%) of the title compound. M.p. 295°-297° C. 1H-NMR (DMSO-D6, δ): 1.04 (t, 3H), 2.62 (q, 2H), 12.01 (s, 1H), 12.19 (s, 1H).","{""Reactants, Solvents, Catalysts"": {""A"": ""7-ethylthieno[2,3-b]pyrazine-2,3(1H,4H)-dione"", ""B"": ""sodium acetate"", ""C"": ""acetic acid"", ""D"": ""bromine"", ""E"": ""aqueous sodium dithionite"", ""F"": ""alcohol"", ""G"": ""ether""}, ""Products"": {""H"": ""6-bromo-7-ethylthieno[2,3-b]pyrazine-2,3(1H,4H)-dione""}, ""Reaction Steps"": {""1 (Reaction, Stir)"": ""A+B+C->mixture1"", ""2 (Reaction, Add)"": ""mixture1+D+C->mixture2"", ""3 (Reaction, Stir)"": ""mixture2->mixture3"", ""4 (Work-up, Pour)"": ""mixture3+ice water->mixture4"", ""5 (Work-up, Add)"": ""mixture4+E->mixture5"", ""6 (Work-up, Filter)"": ""mixture5->mixture6"", ""7 (Work-up, Wash)"": ""mixture6+G->mixture7"", ""8 (Work-up, Suspend and Filter)"": ""mixture7+F->mixture8"", ""9 (Work-up, Wash)"": ""mixture8+G->mixture9"", ""10 (Work-up, Dry)"": ""mixture9->H""}}",
201,4-trimethylsilylethynyl bromo benzene,"A mixture of 150 g of 97% bromo iodo benzene, 500 ml of anhydrous dimethylformamide, 100 ml of triethylamine, 50 g of trimethylsilyl acetylene, 2.1 g of copper iodide and 2.22 g of bis-(triphenylphosphine-palladium (II) dichloride was stirred for 2 hours and then 500 ml of ice-cooled water were added. The mixture was extracted 3 times with 500 ml of ethyl acetate and the organic phase was washed with salt water, then dried over sodium sulfate, and evaporated under reduced pressure to obtain 136.542 g of a brown oil which was purified by distillation under reduced pressure to obtain 106.979 g of the expected product with a boiling point of 75°-82° C. under 0.2 mbar and a melting point of 62° C.","{""Reactants, Solvents, Catalysts"": {""A"": ""bromo iodo benzene"", ""B"": ""dimethylformamide"", ""C"": ""triethylamine"", ""D"": ""trimethylsilyl acetylene"", ""E"": ""copper iodide"", ""F"": ""bis-(triphenylphosphine)palladium(II) dichloride"", ""G"": ""water"", ""H"": ""ethyl acetate"", ""I"": ""salt water"", ""J"": ""sodium sulfate""}, ""Products"": {""K"": ""4-trimethylsilylethynyl bromo benzene""}, ""Reaction Steps"": {""1 (Reaction, Stir)"": ""A+B+C+D+E+F->mixture1"", ""2 (Work-up, Add)"": ""mixture1+G->mixture2"", ""3 (Work-up, Extract)"": ""mixture2+H->mixture3"", ""4 (Work-up, Wash)"": ""mixture3+I->mixture4"", ""5 (Work-up, Dry)"": ""mixture4+J->mixture5"", ""6 (Work-up, Evaporate)"": ""mixture5->mixture6"", ""7 (Work-up, Distill)"": ""mixture6->K""}}",
202,N-octyl-cis-3-(propanoylthio)acrylamide,"To a cooled (0° C.), stirred solution of 21.3 g (0.10 mol) of 2-octyl-4-isothiazolin-3-one in 400 ml of anhydrous ethyl ether was added dropwise 30 ml (0.03 mol) of a 1.0M solution of lithium aluminum hydride in tetrahydrofuran over a 20 min period. After the addition the mixture was stirred at 0° C. for 1 hr. Over a 15 min period 8.96 ml (0.10 mol) of propionyl chloride was added. After this addition the mixture was allowed to warm to room temperature. After 12 hr the reaction mixture was a white solid suspended in an orange solution. The mixture was filtered and the filtrate was diluted with 300 ml of ethyl acetate and washed once with 300 ml of 10% aqueous hydrochloric acid. The organic layer was set aside and the aqueous layer was extracted three times with ethyl acetate. The combined organic layers were washed with water until the washes were neutral in pH, washed with brine, and dried over anhydrous magnesium sulfate. Filtration and removal of solvents gave N-octyl-cis-3-(propanoylthio)acrylamide as an oil which crystallized upon standing. These crude crystals were recrystallized from ethyl ether/hexane to give 16 g (59% yield) as white crystals, m.p. 68°-70° C., and is reported in Table 1.","{""Reactants, Solvents, Catalysts"": {""A"": ""2-octyl-4-isothiazolin-3-one"", ""B"": ""anhydrous ethyl ether"", ""C"": ""lithium aluminum hydride in tetrahydrofuran"", ""D"": ""propionyl chloride"", ""E"": ""ethyl acetate"", ""F"": ""aqueous hydrochloric acid"", ""G"": ""water"", ""H"": ""brine"", ""I"": ""anhydrous magnesium sulfate"", ""J"": ""hexane""}, ""Products"": {""K"": ""N-octyl-cis-3-(propanoylthio)acrylamide""}, ""Reaction Steps"": {""1 (Reaction, Add)"": ""A+B+C->mixture1"", ""2 (Reaction, Stir)"": ""mixture1->mixture2"", ""3 (Reaction, Add)"": ""mixture2+D->mixture3"", ""4 (Reaction, Warm)"": ""mixture3->mixture4"", ""5 (Work-up, Filter)"": ""mixture4->mixture5"", ""6 (Work-up, Dilute)"": ""mixture5+E->mixture6"", ""7 (Work-up, Wash)"": ""mixture6+F->mixture7"", ""8 (Work-up, Extract)"": ""mixture7+E->mixture8"", ""9 (Work-up, Wash)"": ""mixture8+G->mixture9"", ""10 (Work-up, Wash)"": ""mixture9+H->mixture10"", ""11 (Work-up, Dry)"": ""mixture10+I->mixture11"", ""12 (Work-up, Filter and Evaporate)"": ""mixture11->mixture12"", ""13 (Work-up, Crystallize)"": ""mixture12+B+J->K""}}",
