source_row,idx,title,ground_truth_valid,noise_label,generation_success,structured_output_success,json_reaction_step_count,reaction_processing_success,name_to_smiles_success,reaction_step_count,atom_mapping_success,template_processing_success,extraction_exact,template_anomaly_passed,template_anomaly_filtered,denoising_correct,strict_end_to_end_success
160,160,Benzyl N-{1-Methyl-1-[4-(methylsulfonylamino)phenyl]ethyl}carbamate,True,noise-free,1,1,4,1,0,1,0,0,0,0,1,0,0
161,161,[1-(4-Phenylacetyl-phenyl)-cyclobutyl]-carbamic Acid Tert-butyl Ester,False,noisy,1,1,3,1,0,1,0,0,0,0,1,1,1
162,162,N-[(3S)-1-Azabicyclo[2.2.2]oct-3-yl]-6-methoxy-N-methyl-1H-indazole-3-carboxamide,False,noisy,1,1,4,1,1,1,1,1,0,1,0,0,0
163,163,N-cyclopropyl-2-chloro-2-hydroxyimino-acetamide,True,noise-free,1,1,4,1,1,1,1,1,1,1,0,1,1
164,164,4-{[5-(4-benzyloxy-phenyl)-6-butyl-pyridazine-3-carbonyl]-amino}-piperidine-1-carboxylic acid tert-butyl ester,True,noise-free,1,1,2,1,0,1,0,0,0,0,1,0,0
165,165,"1-(2,3-Dihydroxypropyl)-N-(6-ethyl-3,4-difluoro-2-(2-fluoro-4-iodophenylamino)phenyl)cyclopropane-1-sulfonamide",False,noisy,1,1,2,1,1,1,1,1,0,1,0,0,0
166,166,"5-(4-Ethoxycarbonyl-2-fluorophenyl)-6,7-dihydro-5H-pyrrolo[1,2-c]imidazole-5-carboxylic acid",True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
167,167,"5-chloro-1′-[trans-3-(4-chlorophenyl)allyl]spiro[perhydro-azepine-3,3′-piperidine]",False,noisy,1,1,3,1,1,1,1,1,0,1,0,0,0
168,168,"1-(6-(4-methyl-2-oxo-2,3-dihydrobenz-[d]oxazol-6-yloxy)pyrimidin-4-yl)spiro[piperidin-4,4′-pyrido[2,3-d][1.3]oxazin]-2′(1′H)-one",False,noisy,1,1,1,1,1,1,1,1,0,1,0,0,0
169,169,"[5-Oxo-1-(3-oxo-3,4-dihydro-2H-pyrido[3,2-b][1,4]oxazin-6-yl)pyrrolidin-3-yl]carbamic acid benzyl ester",True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
170,170,"8-chloro-7-fluoro-2,3,4,5-tetrahydro-2-methyl-5-(2-(piperidin-1-yl)ethyl)-1H-pyrido[4,3-b]indole",False,noisy,1,1,1,1,1,1,1,1,0,1,0,0,0
171,171,1-(1H-benzo[d]imidazol-5-yl)-5-(4-butoxyphenyl)imidazolidin-2-one,False,noisy,1,1,1,1,1,1,1,1,0,0,1,1,1
172,172,"(2R,3S)-Ethyl 2,3-dihydroxy-3-(1-(4-((5-(trifluoromethyl)pyridin-2-yl)oxy)-phenyl)-1H-indol-3-yl)propanoate",False,noisy,1,1,1,1,0,1,0,0,0,0,1,1,1
173,173,"[(R)-8-fluoro-6-(3-fluoro-phenylsulfanyl)-1,2,3,4-tetrahydro-naphthalen-1-ylmethyl]-urea",True,noise-free,1,1,1,1,1,1,1,1,0,1,0,1,0
174,174,"3-(1-acetyl-piperid-4-yl)-1,1-dimethyl propanol",True,noise-free,1,1,3,1,1,1,1,1,0,1,0,1,0
175,175,"N-(1-carboxy-3-phenylpropyl)-β-amino-D,L-alanyl-L-proline",False,noisy,1,1,6,1,1,4,1,1,0,0,1,1,1
176,176,"Methyl 1-(4-Methylsulfonylphenyl)-1,4-dihydro-4-oxo-6-methylpyridazine-3-carboxylate",True,noise-free,1,1,2,1,1,1,1,1,0,1,0,1,0
177,177,"5-(2,6,6-trimethyl-3-oxo-cyclohex-1-enyl)-3-methyl-1-phenylsulphonyl-penta-2,4-diene",True,noise-free,1,1,2,1,1,2,1,1,1,1,0,1,1
178,178,"23,23-Difluoro-3β-tetrahydropyranyloxycholest-5-ene-26,27-dioic Acid Diethyl Ester",False,noisy,1,1,2,1,1,1,1,1,0,0,1,1,1
179,179,"5,6-difluoroisatin",False,noisy,1,1,4,1,1,1,1,1,0,1,0,0,0
180,180,"1,3-Benzodioxole-4-sulfonamide",True,noise-free,1,1,4,1,1,2,1,1,0,1,0,1,0
181,181,1-phenylcarbamoyl-4-hydroxy-2-pyrrolidinone,True,noise-free,1,1,3,1,1,1,1,1,0,1,0,1,0
182,182,(E)-5-methoxy-2-[2-[3-[2-[4-(cyclobutyl)-2-thiazolyl]ethenyl]phenylamino]-2-oxoethyl]benzoic acid,False,noisy,1,1,1,1,1,1,1,1,0,1,0,0,0
183,183,methyl 2-[2-(1-benzyloxyiminoethyl) oxymethylphenyl]-3-methoxypropenoate,False,noisy,1,1,2,1,1,1,1,1,0,1,0,0,0
184,184,"3-carbomethoxy-5-[N-tert-butoxycarbonyl-N-(3-trifluoromethanesulfonamidopropan-1-yl)aminomethyl]imidazo[1,2-a]pyridine",True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
185,185,"4-(2,6-dichloro-4-(3,3-dichloro-2-propenyloxy)phenoxy)pentanal O-tert-butyloxime",True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
186,186,Preparation of ethyl N-triethoxysilylpropylcarbamate,True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
187,187,Ethyl 3-(4-pyridyl)-3-oxopropionate,True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
188,188,"2-Azidomethyl-2-hydroxy-1,3-diazidopropane",False,noisy,1,1,1,1,1,1,1,1,0,1,0,0,0
189,189,"4-Hydroxy-2-oxo-1,2-dihydro-quinoline-3-carboxylic acid ethyl ester",True,noise-free,1,1,5,1,1,1,1,1,1,1,0,1,1
190,190,Ethyl (E)-3-[4-(2-amino-2-methyl-propanoylamino)-phenyl]-acrylate,False,noisy,1,1,2,1,0,1,0,0,0,0,1,1,1
191,191,4-[5-bromo-2-(but-3-en-1-yloxy)phenyl]-4-hydroxybutan-2-one,False,noisy,1,1,1,1,1,1,1,1,0,1,0,0,0
192,192,1-fluoro-3-methoxy-2-nitrobenzene,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
193,193,"N2-Mesityl-1-methyl-N7,N7-dipropyl-1H-benzimidazole-2,7-diamine",False,noisy,1,1,1,1,1,1,1,1,0,1,0,0,0
194,194,"4-[2,5-Dioxo-4-[(2-propenyloxy)methyl]imidazolidin-4-yl]benzonitrile",False,noisy,1,1,1,1,1,1,1,1,0,1,0,0,0
195,195,Methyl N-{4-[2-(4-chlorophenyl)-1-propylpent-4-en-1-yl]benzoyl}-β-alaninate,False,noisy,1,1,1,1,0,1,0,0,0,0,1,1,1
196,196,4-Bromo-2-phenoxy-benzoic acid,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
197,197,2-(5-amino-1-phenyl-1 H-pyrazol-3-yl)-2-methylpropanoic acid,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
198,198,A466.3: 1-(6-Bromo-pyridin-2-yl)-propylamine,True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
199,199,1-[cyano-(4-methoxyphenyl)methyl]cyclohexanol,True,noise-free,1,1,4,1,1,1,1,1,1,1,0,1,1
200,200,"6-Bromo-7-ethylthieno(2,3-b]pyrazine-2,3(1H,4H)-dione",True,noise-free,1,1,3,1,1,1,1,1,1,1,0,1,1
201,201,4-trimethylsilylethynyl bromo benzene,False,noisy,1,1,1,1,0,1,0,0,0,0,1,1,1
202,202,N-octyl-cis-3-(propanoylthio)acrylamide,True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
203,203,2-amino-4-acetylphenol,True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
204,204,N-Acetyl-3-(indol-3-yl)propanol,False,noisy,1,1,1,1,0,1,0,0,0,0,1,1,1
205,205,4-(1-Aminotridecyl)-2-triethylsilylfuran,True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
206,206,(Z)-3-(2-Naphthyl)-3-phenylacrylic acid,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
207,207,(R)-5-Bromo-3-(N-methylpyrrolidin-2-ylmethyl)-1H-indole,True,noise-free,1,1,8,1,1,1,1,1,1,1,0,1,1
208,208,"3-cyano-9-hydroxy-4-(3-nitrophenyl)-2-(1-pyrrolyl)-4H-naphtho[1,2-b]pyran-8-carboxylic acid",True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
209,209,"2,5,6-Trichloro-1-(β-D-ribofuranosyl)benzimidazole",False,noisy,1,1,1,1,0,1,0,0,0,0,1,1,1
210,210,N-[2-(2-methoxy-1-naphthyl)ethyl]propionamide,True,noise-free,1,1,3,1,1,1,1,1,1,1,0,1,1
211,211,"1,2,3,4-tetrahydro-6-benzyloxynaphthalene-2-carboxylic acid",True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
212,212,"1-(8,9-Dihydroxynonyl)-3,7-dimethylxanthine",True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
213,213,4'-Cyclohexylidenemethylbiphenyl-2-sulfonamide,True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
214,214,"3-(4-Amino-2-fluorophenyl)-3-hydroxy-1-(1,1-diphenylmethyl)azetidine",True,noise-free,1,1,3,1,1,1,1,1,1,1,0,1,1
215,215,"(S)-α-methyl-1,3 benzodioxole-5-ethanol",True,noise-free,1,1,2,1,0,1,0,0,0,0,1,0,0
216,216,"3-Cyano-1-(2,6-dichloro-4-trifluoromethylphenyl)-4-formylpyrazole",True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
217,217,"N-[(3-methylpropyl)oxy]-1,2,3,4-tetrahydro-9-acridinamine",False,noisy,1,0,0,0,0,1,0,0,0,0,1,1,1
218,218,"Methyl (S)-2-[3-(2-benzyloxy-1-methylethyl)-2-(3,5-dimethylphenyl)-1H-pyrrolo[2,3-b]pyridin-5-yl]-2-methylpropanoate",False,noisy,1,1,2,1,1,1,1,1,0,1,0,0,0
219,219,4-(4-Fluorophenoxy)thiophenol,True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
220,220,"cis-(3,5-Bis-trifluoromethyl-benzyl)-(1-butyl-6,7-dimethoxy-2-methyl-1,2,3,4-tetrahydro-quinolin-4-yl)-carbamic acid methyl ester",True,noise-free,1,1,2,1,1,2,1,0,1,0,1,0,0
221,221,phenoxyacetic acid,True,noise-free,1,1,2,1,1,1,1,1,0,1,0,1,0
222,222,1-hydroxymethyl-3-adamantanol,True,noise-free,1,1,3,1,1,1,1,1,1,1,0,1,1
223,223,"[2-(R,S)-Benzylcarbamoyl-3-(4-cyano-phenyl)-propionylamino]-(S)-cyclohexyl-acetic Acid Methyl Ester",True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
224,224,2-(4-methyl-2-phenylpiperazin-1-yl)pyridine-3-methanol,True,noise-free,1,1,4,1,1,1,1,1,1,1,0,1,1
225,225,4-fluoro-3′-methoxy-3-nitrobiphenyl,True,noise-free,1,1,1,1,1,1,1,1,0,1,0,1,0
226,226,"[4-[4-[4-(hydroxydiphenylmethyl)-1-piperidinyl]-1-oxobutyl]phenyl]methyl-propanedioic acid, diethyl ester",True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
227,227,N-(4-n-butoxyphenyl)-2-(1-benzyl-4-hydroxypiperidin-4-yl)acetamide,True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
228,228,(R)-(+)-(1-Aza-bicyclo[2.2.2]oct-3-yl)-carbamic acid benzyl ester,True,noise-free,1,1,5,1,0,1,0,0,0,0,1,0,0
229,229,[(2S)-2-(4-bromophenoxy)propyl][(methylethyl)sulfonyl]amine,True,noise-free,1,1,4,1,1,1,1,1,1,1,0,1,1
230,230,"tert-Butyl (5-methyl-3-naphthylcarbonyl-2,4-dioxo-5-phenylimidazolidinyl)acetate (Compound 14)",True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
231,231,Methyl (2E)-3-[3-[2-[[4-fluoro-2-(trifluoromethyl)phenyl]amino]-2-oxoethyl]-7-methyl-2-oxo-4-phenyl-2H-chromen-6-yl]propenoate,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
232,232,"4-(3,5,5,8,8-Pentamethyl-5,6,7,8-tetrahydro-2-naphthylselanyl)benzoic acid",True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
233,233,"2,3-Dihydroxy-4methoxy-benzaldehyde (6b)",True,noise-free,1,1,4,1,1,1,1,1,1,1,0,1,1
234,234,tert-Butyl 6-(methoxymethyl)pyrimidin-4-ylcarbamate (24-4),True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
235,235,"1a, 1-[2-(2-Trifluoromethylphenylsulfanyl)phenyl]piperazine",False,noisy,1,1,4,1,0,1,0,0,0,0,1,1,1
236,236,"[4-(4,9-dimethoxy-1-oxo-1,3-dihydro-2H-benzo[f]isoindol-2-yl)phenyl]acetic acid",True,noise-free,1,1,4,1,1,1,1,1,1,1,0,1,1
237,237,"2-(2,4-dichloro-phenyl)-7-hydroxy-1H-benzoimidazole-4-carboxylic acid",True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
238,238,3-Amino-2-Phenylindole,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
239,239,"9,9-Diethyl-7-bromo-fluorene-2-carboxaldehyde",True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
240,240,2-Isopropoxy-6-pentadecylbenzoic Acid,True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
241,241,N-[3-(2-Fluoro-4′-hydroxymethyl-biphenyl-4-yl)-2-oxo-oxazolidin-5-ylmethyl]-acetamide,True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
242,242,(1-Diazo-2-oxo-propyl)-phosphonic acid dimethyl ester,True,noise-free,1,1,5,1,1,1,1,1,0,1,0,1,0
243,243,"4-(3-(2,6-Dimethylbenzyloxy)-phenyl)-4(R)-hydroxybutanoic acid",True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
244,244,B. Preparation of 4-Nitro-heptanedial,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
245,245,N1-(4-Methoxyphenyl)-5-amino-3-tert-butylpyrazole,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
246,246,"2-Benzyloxycarbonylamino-3-(2,4-dichlorobenzenesulfonylamino)-2-methylpropionic Acid",True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
247,247,2-(1H-Indol-4-yl)-6-(4-methyl-piperazin-1-ylmethyl)-4-morpholin-4-yl-thieno[3.2-d]pyrimidine,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
248,248,"2-(5-Benzylbenzofuran-2-yl)-5-(hydroxymethyl)benzonitrile (Step 3, scheme 5)",True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
249,249,2(S)-allyloxy-3-[3′-(3-heptyl-1-methylureido)biphenyl-4-yl]propanoic acid,True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
250,250,irbesartan,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
251,251,"4-(6-Chloro-7-(4-phenethylpiperazin-1-yl)-3H-imidazo[4,5-b]pyridin-2-yl)-N,N-dimethylaniline",True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
252,252,2-(2-benzyloxypyridin-3-yl)-4-tert-butyl-5-methoxybenzoic acid methyl ester,False,noisy,1,1,1,1,0,1,0,0,0,0,1,1,1
253,253,"2-(1H-Indazol-4-yl)-4-morpholin-4-yl-thieno[3,2-d]pyrimidine-6-carbaldehyde",True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
254,254,5-chloro-N-((1-(3-fluoro-4-iodophenyl)-1H-imidazol-4-yl)methyl)thiophene-2-carboxamide,True,noise-free,1,1,4,1,1,1,1,1,1,1,0,1,1
255,255,1-Methyl-piperidine-4-carboxylic acid [2-(2-methoxy-benzylamino)-quinolin-6-yl]-amide,True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
256,256,3-(3-fluoro-5-nitrophenoxy)pyridine,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
257,257,"(S)-1-(1-PHENYLPROPYL)-6-(QUINOLIN-5-YL)-1H-IMIDAZO[4,5-B]PYRAZIN-2(3H)-ONE",True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
258,258,2-Bromo-4-(prop-1-ynyl)pyridine,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
259,259,"tert-butyl 7-(hydroxymethyl)-3,4-dihydroisoquinoline-2(1H)-carboxylate",True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
260,260,"8-bromo-3,4-dihydrobenzo[f][1,4]oxazepin-5(2H)-one",True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
261,261,(R)-3-Benzyl-1-(3-cyclopentyloxy-4-methoxy-phenyl)-piperazine,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
262,262,(R)-2-(2-chloropyrimidin-4-ylamino)-2-methylbutanoic acid,True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
263,263,N-[4-((S)-1-Propyl-pyrrolidin-3-yl)-phenyl]-3-pyrrolidin-1-yl-benzenesulfonamide,True,noise-free,1,1,3,1,1,1,1,1,1,1,0,1,1
264,264,Preparation of CDA Modified with Alendronate,False,noisy,1,1,2,1,0,1,0,0,0,0,1,1,1
265,265,2-(Hydroxymethyl)-4-phenylthiazole,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
266,266,amino-4-phenyl-thiazole-5-carbonitrile,False,noisy,1,1,3,1,0,1,0,0,0,0,1,1,1
267,267,6-(4-Methyl-piperazin-1-yl)-1-(toluene-4-sulfonyl)-1H-indole,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
268,268,"2-hydroxy-4,5-dimethoxybenzoic acid",True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
269,269,"5-Chloro-N-(2,4-dimethoxybenzyl)-2,4-difluoro-N-1,3,4-thiadiazol-2-ylbenzenesulfonamide",True,noise-free,1,1,6,1,1,1,1,1,1,1,0,1,1
270,270,"2-fluoro-6-nitro-N-(3-(2,2,2-trifluoroethyl)phenyl)benzamide",True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
271,271,[2-(4-tert-butoxycarbonylamino-piperidin-1-yl)-5-chloro-4-(4-cyano-3-fluoro-phenyl)-6-oxo-6H-pyrimidin-1-yl]-acetic acid methyl ester,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
272,272,Compound 3: 4-(4-fluoro-2-methyl-1H-indol-5-yloxy)-6-methoxyquinazolin-7-ol,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
273,273,"3,5-dibromo-6H-anthra[1,9-cd]isoxazol-6-one",True,noise-free,1,1,5,1,1,1,1,1,1,1,0,1,1
274,274,methyl[3-benzyloxy-5-hydroxyphenyl]acetate,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
275,275,7-(2-Aminomethylphenylacetamido)-3-(1-carboxymethyltetrazol-5-ylthiomethyl)-3-cephem-4-carboxylic Acid (III),True,noise-free,1,1,3,1,1,1,1,1,1,1,0,1,1
276,276,3-Allyl-3-methyl-pent-4-en-2-ol,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
277,277,3-amino-3-difluoromethyl-2-piperidone,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
278,278,"4-Chloro-6-methyl-1H-pyrazolo[3,4-b]pyridine-5-carboxylic acid ethyl ester",True,noise-free,1,1,2,1,1,1,1,1,0,1,0,1,0
279,279,"A. N-Isobutyl-2-[2-benzyloxy-4-(1,1-dimethylheptyl)phenyl]piperidine",True,noise-free,1,1,4,1,1,1,1,1,1,1,0,1,1
280,280,"2-Benzyloxy-1-bromo-4-(1,1-dimethylheptyl)benzene",True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
281,281,"α-[(1-Oxo-3,3-diphenylpropyl)amino]benzenepropionic acid",True,noise-free,1,1,2,1,1,1,1,1,0,1,0,1,0
282,282,(E)-4-(4-fluorophenyl)-3-butenoic acid,True,noise-free,1,1,3,1,1,1,1,1,1,1,0,1,1
283,283,2-Hydroxymethyl-8-methoxy-chroman ##STR19##,True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
284,284,2-phenyl-2-trifluoromethylethanol,True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
285,285,1-(tert-butyldimethylsilyl)-4(R)-(hydroxymethyl)azetidin-2-one,True,noise-free,1,1,2,1,1,1,1,1,0,1,0,1,0
286,286,Ethyl 7-(3-benzyloxypropoxy)-chromane-2-carboxylate,True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
287,287,"2-[4-[(3,5-Dichlorophenyl)sulfanyl]-5-ethyl-3-(hydroxymethyl)-1H-pyrazol-1-yl]ethanol",False,noisy,1,1,3,1,0,1,0,0,0,0,1,1,1
288,288,"Imidazo[1,2-a]pyridin-6-ylamine",True,noise-free,1,1,3,1,1,1,1,1,1,1,0,1,1
289,289,"(Z)-Methyl 3-(4-amino-3,5-dimethylphenyl)-2-(benzyloxycarbonyl)acrylate",True,noise-free,1,1,3,1,0,1,0,0,0,0,1,0,0
290,290,(4-Bromo-3-methylphenyl)(4-hydroxyphenyl)methanone,False,noisy,1,1,1,1,0,1,0,0,0,0,1,1,1
291,291,4-(hydroxymethyl)phenyl-diisopropylsilane,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
292,292,N-(4-{2-[4-(N-{1-(N-hydroxycarbamoyl)(1S)-2-[(tert-butoxy)carbonylamino]ethyl}carbamoyl)phenyl]ethynyl}phenyl)-2-[(tert-butoxy)carbonylamino]acetamide,True,noise-free,1,1,4,1,1,1,1,1,1,1,0,1,1
293,293,2-(4-(bis(4-chlorophenyl)methyl)-2-oxopiperazin-1-yl)acetic acid,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
294,294,"Preparation of 4-[3-amino-2-methyl-4-(methylsulfonyl)benzoyl]-1,3-dimethyl-5-hydroxypyrazole",True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
295,295,"Evaluation of Wild-Type Ketoreductases for Reduction of 5-((4S)-2-oxo-4-phenyl(1,3-oxazolidin-3-yl))-1-(4-fluorophenyl)pentane-1,5-dione",False,noisy,1,1,2,0,0,1,0,0,0,0,1,1,1
296,296,"8-(3-Sulfamoyl-phenylamino)-4,5-dihydro-thiazolo[4,5-h]quinazoline-2-carboxylic acid ethyl ester",True,noise-free,1,1,2,1,1,2,1,1,0,1,0,1,0
297,297,"(S)-1-[(3S,4S)-1-Benzyl-3-(3,4-difluoro-phenyl)-piperidin-4-yl]-ethanol",True,noise-free,1,1,1,1,1,1,1,1,1,0,1,0,0
298,298,"2-(4,5,6,7-tetrahydro-1-phenyl-1H-indazol-4-yl)ethanol",True,noise-free,1,1,3,1,1,1,1,1,1,1,0,1,1
299,299,(12) Diphenylether Herbicidal Compounds,False,noisy,1,0,0,0,0,1,0,0,0,0,1,1,1
300,300,p-n-Decyloxybenzoic acid chloride,True,noise-free,1,1,3,1,1,2,1,1,1,1,0,1,1
301,301,"3-[2-[4-(2-methoxyphenyl)-1-piperazinyl]ethyl]-7-acetylamino-1,2,3,4-tetrahydroquinazoline-2,4-dione",True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
302,302,3-[3-(2-Nitro-1H-imidazol-1-yl)propyl]-2-oxazolidinone,True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
303,303,"2-trifluoromethyl-1,1,1,2,4,4-hexafluorobutane",False,noisy,1,1,3,1,0,2,0,0,0,0,1,1,1
304,304,a) Diethyl 4-acetoxy-3-(acetoxymethyl)butylphosphonate,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
305,305,2-(4-n-decyloxy-2-fluorophenyl)-5-octyloxypyridine,False,noisy,1,1,3,1,0,2,0,0,0,0,1,1,1
306,306,"10-Acetoxy-7,8,9,10-tetrahydrophenanthridine",True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
307,307,"2,2,2-trifluoroethyl trifluoromethanesulfonate",True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
308,308,(6-methoxy-2-cyclopentylbenzo[b]thien-3-yl)[4-[2-(dimethylamino)ethoxy]phenyl]methanone,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
309,309,1-hydroxy-1-p-tolylethylphosphonous acid,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
310,310,3-Cyano-8-fluoro-5-methoxy-2-H-chromen,True,noise-free,1,1,1,1,0,1,0,0,0,0,1,0,0
311,311,"5-[[4-Methoxy-3-(phenylmethoxy)phenyl]methylene]-2,4-imidazolidinedione",False,noisy,1,1,1,1,1,1,1,1,0,1,0,0,0
312,312,Diethyl 3.5-bis(trifluoromethyl)benzylphosphonate,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
313,313,N-(3-chloropropyl)-6-acetyl-2-benzoxazolinone,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
314,314,"3,4,4-trifluoro-3-butenethioic acid, S-octyl ester",True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
315,315,1-hydroxy-1-p-tolylethylphosphonous acid,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
316,316,"3-[(2,2-Diphenyl-1,3-benzodioxolan-5-yl) methylcarbonyl]indole",False,noisy,1,1,2,1,0,2,0,0,0,0,1,1,1
317,317,3-Amino-5-chloropicolinamide,True,noise-free,1,1,3,1,1,1,1,1,1,1,0,1,1
318,318,6-cyano-1-(2-carbamoylvinyl)-2-naphthol,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
319,319,"N,N-dimethyl-1,2,3,4-tetrahydro-2,3-dioxo-6-quinoxaline sulfonamide",True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
320,320,α-(diethoxyphosphorylmethyl)styrene,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
321,321,2-(2-Hydroxyphenyl)-1-(4-methylpiperazino)-1-ethanone,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
322,322,"5,6,7,8-tetrahydro-4-chloro-7-ethoxycarbonyl-2-(3-pyridyl)pyrido[4′,3′:4,5]thieno[2,3-d]pyrimidine",True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
323,323,"N-[(2,5-Difluorophenyl)acetyl]alanine iso-Butyl Ester",False,noisy,1,1,1,1,1,1,1,1,0,1,0,0,0
324,324,Ethyl 3-[4-benzyloxyphenyl]-2-hexyloxypropanoate,False,noisy,1,1,1,1,1,1,1,1,0,1,0,0,0
325,325,"N-(3,5-Bis-trifluoromethyl-benzyl)-N-methyl-4-o-tolyl-6-[1,2,4]triazol-1-yl-nicotinamide",True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
326,326,3-octyloxy-4-hydroxy-8-(2-ethoxycarbonylethoxy)-2H-1-benzopyran-2-one,False,noisy,1,1,1,1,1,1,1,1,0,1,0,0,0
327,327,"6-Chloro-3-[ethoxymethylidene]-1H-pyrrolo[2,3-b]pyridin-2-one",False,noisy,1,1,1,1,1,1,1,1,0,1,0,0,0
328,328,"2-Bromo-6-ethyl-5-[(4-methoxy-3-methylphenyl)sulfonyl]-5,6-dihydrophenanthridin",False,noisy,1,1,1,1,1,1,1,1,0,1,0,0,0
329,329,"N-[4-[(4-cyanophenyl)amino]-6-[(2,6-dichlorophenyl)methyl]-1,3,5-triazin-2-yl]acetamide",False,noisy,1,1,1,1,0,1,0,0,0,0,1,1,1
